OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
203,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,39,20869,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2418,37TH AVE N,24th St,<Null>,Birmingham,Bell System manhole cover; intersection of 24th St &37th Ave,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,Jackie.Butts1,10579346,9200020869,<Null>,<Null>,-86.82347,33.557926,"c(-86.82347, 33.5579260000001)"
204,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,35,20854,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,33,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,Below ground - on/near gas pipeline,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579334,9200020854,<Null>,<Null>,-86.814595,33.558309,"c(-86.8145949999999, 33.5583090000001)"
205,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,33,20851,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579331,9200020851,<Null>,<Null>,-86.814375,33.5584,"c(-86.814375, 33.5584000000001)"
206,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,34,20852,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,30,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,"Below ground - on/near gas pipeline, <5' from street, near fire hydrant",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579332,9200020852,<Null>,<Null>,-86.814556,33.558428,"c(-86.814556, 33.558428)"
207,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,32,20850,3 Year,Underground,Grade 3,No,Valve,Main,10' - 20' FRM Building,Unsurfaced,<Null>,5,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,Gas valve/substructure,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579330,9200020850,<Null>,<Null>,-86.814372,33.558465,"c(-86.8143719999999, 33.5584650000001)"
208,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,20,20819,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,29,<Null>,<Null>,CGI,RISER ONLY,RISER ONLY,3530,27TH ST N,<Null>,<Null>,Birmingham,"<5 ft. from residence, gas odor, customers complain of gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10578830,9200020819,<Null>,<Null>,-86.819414,33.558496,"c(-86.8194139999999, 33.558496)"
209,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,14,20811,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Concrete,<Null>,<Null>,281,CGI,<Null>,<Null>,2616,37TH AVE N,<Null>,<Null>,Birmingham,"City of Birmingham Sanitary Sewer, methane detected",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10579301,9200020811,<Null>,<Null>,-86.820191,33.558817,"c(-86.820191, 33.558817)"
210,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,31,20849,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,14,<Null>,CGI,<Null>,<Null>,2864,35TH AVE N,<Null>,<Null>,Birmingham,"Storm drain, on/near gas pipeline, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579329,9200020849,<Null>,<Null>,-86.81272,33.558962,"c(-86.81272, 33.5589620000001)"
211,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,30,20848,3 Year,Underground,Grade 3,No,Main,Main,Street,Unsurfaced,7,<Null>,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N,<Null>,<Null>,Birmingham,On/near gas pipeline - between street and sidewalk,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579328,9200020848,<Null>,<Null>,-86.81232,33.559054,"c(-86.8123199999999, 33.5590540000001)"
212,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,29,20847,3 Year,Underground,Grade 3,No,Main,Main,10' - 20' FRM Building,Concrete,<Null>,10,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N,NA,<Null>,Birmingham,"Drainage ditch, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579327,9200020847,<Null>,<Null>,-86.812213,33.559118,"c(-86.812213, 33.5591180000001)"
213,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,28,20846,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,5,<Null>,CGI,<Null>,<Null>,2894,35TH AVE N,29th St. N,<Null>,Birmingham,"Gas detected from storm drain, on/near main; BSE Industrial Contractors",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10579326,9200020846,<Null>,<Null>,-86.811662,33.559253,"c(-86.811662, 33.5592530000001)"
214,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,6,20502,3 Year,Underground,Grade 3,No,<Null>,Main,10' - 20' FRM Building,Concrete,<Null>,<Null>,200,CGI,<Null>,<Null>,2722,37TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Gas detected in storm drain, gas odor, gas detected in air",2020,Southern Cross,<Null>,<Null>,2020-02-13,Jackie.Butts1,2020-02-13,Jackie.Butts1,10578872,9200020502,<Null>,<Null>,-86.817986,33.559506,"c(-86.817986, 33.5595060000001)"
215,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,15,20812,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,4,<Null>,CGI,CB31648,CB31648,3711,27TH ST N,<Null>,<Null>,Birmingham,Riser/below shut off/service cock,2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10579302,9200020812,<Null>,<Null>,-86.819459,33.559703,"c(-86.8194589999999, 33.5597030000001)"
216,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,38,20867,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,15,<Null>,<Null>,CGI,<Null>,<Null>,3922,24TH ST N,<Null>,<Null>,Birmingham,"Under sidewalk. no gas odor, >50+ from buildings/residences; near Carver HS",2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,Jackie.Butts1,10579344,9200020867,<Null>,<Null>,-86.82296,33.560294,"c(-86.82296, 33.5602940000001)"
217,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,37,20858,3 Year,Underground,Grade 3,No,Service Cock,Service,<10' FRM Building,Unsurfaced,<Null>,<Null>,172,CGI,BA808176,BA808176,2442,39TH AVE N,<Null>,<Null>,Birmingham,Service cock/shut off/union,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,Jackie.Butts1,10579335,9200020858,<Null>,<Null>,-86.821875,33.560422,"c(-86.821875, 33.5604220000001)"
218,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,12,20806,3 Year,Underground,Grade 3,No,Main,Main,Street,Concrete,<Null>,6,<Null>,CGI,<Null>,<Null>,2725,38TH AVE N,<Null>,<Null>,Birmingham,"Cracks/patch in street, 10+ ft. from residence, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10578697,9200020806,<Null>,<Null>,-86.818704,33.560488,"c(-86.818704, 33.5604880000001)"
219,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,11,20805,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,2729,38TH AVE N,<Null>,<Null>,Birmingham,Hole in street on/near gas pipeline,2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10578696,9200020805,<Null>,<Null>,-86.818695,33.560507,"c(-86.818695, 33.560507)"
220,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,13,20807,3 Year,Underground,Grade 2,No,Main,Main,Street,Tar Mix,16,<Null>,<Null>,CGI,<Null>,<Null>,2725,38TH AVE N,<Null>,<Null>,Birmingham,"Crack/patch in street, 10+ ft. from residence, gas odor, highest reading = 30% gas",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,Jackie.Butts1,10578698,9200020807,<Null>,<Null>,-86.818762,33.56055,"c(-86.8187619999999, 33.56055)"
221,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,9,20509,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,12,<Null>,<Null>,CGI,<Null>,<Null>,2729,38TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Hole in street along gas pipeline, 15+ from residences; Intersection 38th Ave & 28th St",2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,Jackie.Butts1,10578876,9200020509,<Null>,<Null>,-86.81843,33.560599,"c(-86.81843, 33.560599)"
222,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,36,20856,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,<Null>,75,<Null>,Soap,BA819200,BA819200,2458,39TH AVE N,<Null>,<Null>,Birmingham,"Exposed/damaged gas line, gas odor, hissing, residence is vacant/unoccupied",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,Jackie.Butts1,10578983,9200020856,<Null>,<Null>,-86.821466,33.560653,"c(-86.821466, 33.5606530000001)"
223,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,10,20511,3 Year,Underground,Grade 1,No,<Null>,Service,<10' FRM Building,Unsurfaced,40,<Null>,<Null>,CGI,BA787681,BA787681,2712,38th Ave. N,<Null>,<Null>,BIRMINGHAM,"Below ground - on/near service to meter, <5 ft. from residence, highest reading = 78% gas",2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,Jackie.Butts1,10578764,9200020511,<Null>,<Null>,-86.818611,33.560816,"c(-86.818611, 33.560816)"
224,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,135,21805,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,20,<Null>,<Null>,CGI,N/A,N/A,4008,24t St N,<Null>,<Null>,<Null>,"At street, on/near gas pipeline, near Big B Food Mart, in front of vacant building",2020,Southern Cross,<Null>,<Null>,2020-03-17,Jackie.Butts1,2020-03-17,Jackie.Butts1,10580637,9200021805,<Null>,<Null>,-86.823409,33.562211,"c(-86.823409, 33.562211)"
225,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,138,21827,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,2,<Null>,CGI,N/A,N/A,4105,23RD LN N,<Null>,<Null>,<Null>,Methane detected - City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-03-18,Jackie.Butts1,2020-03-18,Jackie.Butts1,10580645,9200021827,<Null>,<Null>,-86.823219,33.564946,"c(-86.8232189999999, 33.5649460000001)"
226,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,139,21828,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,21,<Null>,<Null>,CGI,N/A,N/A,4112,23RD LN N,<Null>,<Null>,<Null>,"On/near gas pipeline, near fire hydrant/utility pole, gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-18,Jackie.Butts1,2020-03-18,Jackie.Butts1,10580646,9200021828,<Null>,<Null>,-86.823228,33.565061,"c(-86.823228, 33.5650610000001)"
